Instancia,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
216,0.81,0.2,0.87,0.13,0.98,0.16,0.87,0.12,0.96,0.06,0.88,0.05,0.95,0.17,0.93,0.06,0.89,0.08,1.0,0.07,0.87,0.2,0.81,0.04,0.83,0.03,1.0,0.01,0.82,0.12,0.87,0.17,0.99,0.13,0.82,0.14,0.88,0.12,0.8,0.11,0.87,0.14,0.83,0.13,0.93,0.19,0.87,0.18,0.78,0.02,0.11,0.17,57.29
217,0.84,0.17,0.96,0.12,0.91,0.11,0.95,0.12,0.86,0.01,1.0,0.04,0.86,0.16,1.0,0.09,0.91,0.17,0.96,0.01,0.86,0.03,0.86,0.07,0.87,0.15,0.98,0.14,0.83,0.05,0.91,0.09,0.89,0.16,0.91,0.04,0.91,0.17,1.0,0.01,0.85,0.11,0.91,0.02,0.87,0.11,0.84,0.01,0.44,0.02,0.79,0.35,61.46
218,0.86,0.12,0.95,0.16,0.92,0.2,0.83,0.17,0.85,0.15,0.95,0.2,0.95,0.13,0.9,0.11,0.9,0.0,0.83,0.01,0.92,0.09,0.94,0.11,0.97,0.19,0.9,0.17,0.86,0.16,0.89,0.19,0.85,0.09,0.83,0.04,0.82,0.11,0.92,0.13,0.9,0.03,0.86,0.16,0.83,0.15,0.88,0.04,0.43,0.3,0.79,0.02,63.54
219,0.91,0.0,0.93,0.12,0.89,0.02,0.99,0.08,0.97,0.07,0.81,0.04,0.81,0.05,0.88,0.14,1.0,0.05,0.83,0.03,0.84,0.07,0.93,0.17,0.83,0.01,0.97,0.04,0.89,0.13,0.91,0.15,0.91,0.19,0.94,0.15,0.83,0.05,0.97,0.17,0.96,0.18,0.8,0.05,0.91,0.09,0.93,0.08,0.11,0.16,0.89,0.22,71.88
220,0.9,0.03,1.0,0.19,0.82,0.01,0.94,0.14,0.97,0.04,0.98,0.08,0.87,0.17,0.94,0.03,0.99,0.08,0.91,0.14,0.99,0.05,0.89,0.07,0.84,0.03,0.98,0.05,0.89,0.07,1.0,0.19,0.94,0.06,0.87,0.17,0.94,0.19,0.96,0.04,0.87,0.12,0.87,0.01,0.95,0.05,1.0,0.05,0.14,0.33,0.61,0.03,67.71
221,1.0,0.09,0.81,0.03,1.0,0.06,0.81,0.05,1.0,0.06,0.82,0.1,0.93,0.02,0.92,0.0,0.93,0.19,0.94,0.06,0.98,0.09,0.94,0.12,0.82,0.03,0.99,0.02,0.85,0.15,0.81,0.08,0.96,0.2,0.94,0.09,0.97,0.1,0.82,0.07,0.93,0.04,0.95,0.1,0.99,0.06,0.85,0.01,0.52,0.33,0.29,0.0,58.33
222,0.8,0.04,0.86,0.08,0.8,0.08,0.85,0.08,0.89,0.19,0.8,0.05,0.88,0.05,0.94,0.08,0.86,0.04,0.89,0.05,0.89,0.11,0.81,0.04,0.84,0.2,0.99,0.1,0.98,0.01,0.86,0.07,0.93,0.08,0.85,0.09,0.82,0.08,0.93,0.03,0.86,0.16,0.84,0.11,0.86,0.05,0.81,0.12,0.2,0.3,0.9,0.33,65.62
223,0.83,0.1,0.94,0.02,0.83,0.03,0.87,0.19,0.85,0.04,0.81,0.2,0.89,0.05,0.94,0.13,0.81,0.18,0.84,0.02,0.89,0.19,0.98,0.0,0.86,0.07,0.88,0.07,0.93,0.1,0.87,0.04,0.81,0.06,0.94,0.04,0.9,0.04,0.93,0.19,0.81,0.2,0.8,0.14,0.95,0.05,0.83,0.1,0.16,0.02,0.35,0.34,73.96
224,0.99,0.18,0.99,0.17,0.84,0.01,0.95,0.05,0.88,0.05,0.94,0.11,0.92,0.08,0.97,0.02,0.96,0.06,0.88,0.0,0.85,0.18,0.95,0.04,0.87,0.08,0.91,0.12,0.89,0.12,0.92,0.15,1.0,0.07,0.8,0.1,0.87,0.13,0.87,0.09,0.89,0.01,0.88,0.06,0.82,0.2,0.98,0.12,0.89,0.02,0.63,0.19,50.0
225,0.83,0.0,0.87,0.07,1.0,0.0,0.94,0.07,0.8,0.02,0.98,0.11,0.92,0.17,0.87,0.02,0.85,0.17,0.89,0.2,0.9,0.02,0.96,0.09,0.94,0.03,0.87,0.1,0.86,0.06,0.98,0.18,0.98,0.12,0.82,0.05,0.89,0.09,0.86,0.08,0.99,0.2,1.0,0.03,0.96,0.01,0.96,0.15,0.47,0.38,0.56,0.18,63.54
226,0.98,0.17,0.99,0.02,0.93,0.0,0.88,0.08,0.98,0.0,0.86,0.06,0.81,0.07,0.91,0.18,0.99,0.05,0.82,0.03,0.96,0.02,0.96,0.07,0.83,0.06,1.0,0.13,0.82,0.12,0.87,0.2,0.83,0.1,0.93,0.05,1.0,0.18,0.92,0.0,0.94,0.2,0.83,0.07,0.94,0.01,0.92,0.19,0.46,0.33,0.5,0.15,55.21
227,0.93,0.08,1.0,0.15,0.98,0.17,0.83,0.09,0.83,0.01,0.97,0.13,0.98,0.0,0.94,0.07,0.97,0.11,0.91,0.18,0.94,0.13,0.86,0.17,0.86,0.0,1.0,0.11,1.0,0.03,0.92,0.13,0.92,0.05,0.9,0.14,0.89,0.03,0.97,0.01,0.95,0.0,0.84,0.15,0.9,0.16,0.86,0.01,0.58,0.13,0.27,0.01,58.33
228,0.96,0.14,0.82,0.0,0.93,0.11,0.98,0.01,0.84,0.12,0.82,0.18,0.81,0.12,0.96,0.05,0.93,0.11,0.86,0.06,0.8,0.09,0.82,0.02,0.89,0.05,0.93,0.1,0.98,0.06,0.99,0.03,0.9,0.14,0.84,0.03,0.91,0.12,0.88,0.2,0.86,0.19,0.92,0.09,0.89,0.06,0.97,0.03,0.0,0.31,0.84,0.33,78.12
229,0.97,0.02,1.0,0.09,0.85,0.07,0.91,0.19,0.9,0.12,0.85,0.01,0.95,0.08,0.85,0.0,0.81,0.1,0.83,0.11,0.8,0.09,0.81,0.16,0.95,0.05,0.87,0.01,0.85,0.1,0.98,0.01,0.83,0.05,0.95,0.16,0.81,0.01,0.94,0.04,0.9,0.13,0.92,0.08,0.83,0.07,0.85,0.13,0.12,0.3,0.48,0.1,69.79
230,0.89,0.2,0.98,0.07,0.83,0.11,0.89,0.15,0.94,0.13,0.83,0.11,0.84,0.11,0.98,0.17,0.95,0.08,0.91,0.08,0.89,0.1,0.89,0.06,0.83,0.1,0.87,0.08,0.85,0.13,0.83,0.01,0.98,0.05,0.81,0.0,0.84,0.14,0.89,0.02,0.89,0.16,1.0,0.07,0.81,0.05,1.0,0.11,0.26,0.16,0.51,0.26,65.62
231,0.93,0.13,0.84,0.12,0.83,0.11,0.96,0.14,1.0,0.16,0.81,0.0,0.88,0.05,0.98,0.18,0.81,0.15,0.93,0.08,0.91,0.11,0.91,0.05,0.97,0.08,0.9,0.13,0.99,0.08,0.99,0.17,0.9,0.18,0.81,0.09,0.88,0.18,0.9,0.16,0.84,0.19,0.87,0.05,0.81,0.14,0.95,0.11,0.53,0.04,0.77,0.05,61.46
232,0.81,0.11,0.82,0.16,0.91,0.11,0.82,0.12,0.92,0.05,0.9,0.1,0.95,0.03,0.82,0.12,0.82,0.11,0.97,0.01,0.95,0.13,0.97,0.12,0.86,0.16,0.84,0.02,0.95,0.16,0.82,0.19,0.93,0.0,0.87,0.08,0.94,0.06,0.84,0.04,0.82,0.13,0.83,0.17,0.9,0.03,0.8,0.11,0.56,0.13,0.57,0.28,60.42
233,0.83,0.16,0.82,0.11,0.87,0.09,0.81,0.05,0.91,0.16,0.83,0.06,0.87,0.03,0.91,0.16,0.91,0.1,0.82,0.09,0.84,0.13,0.91,0.1,0.8,0.2,0.8,0.13,0.83,0.09,0.89,0.0,1.0,0.09,0.94,0.2,0.9,0.01,0.88,0.05,0.82,0.14,0.84,0.06,0.81,0.04,0.84,0.17,0.63,0.17,0.93,0.38,60.42
234,0.93,0.1,0.85,0.13,0.8,0.09,0.99,0.12,0.93,0.01,1.0,0.15,0.84,0.1,0.95,0.03,0.92,0.13,0.86,0.0,0.8,0.17,0.82,0.01,0.92,0.15,0.88,0.05,0.95,0.0,0.86,0.04,0.87,0.14,0.99,0.06,0.92,0.14,0.87,0.05,0.82,0.08,0.95,0.06,0.87,0.1,0.88,0.17,0.4,0.38,0.66,0.38,64.58
235,0.88,0.2,0.98,0.08,0.89,0.16,0.87,0.04,0.81,0.19,0.88,0.14,0.91,0.13,1.0,0.09,0.9,0.08,0.9,0.0,0.87,0.1,0.88,0.11,0.97,0.06,0.86,0.01,0.97,0.05,0.86,0.17,0.99,0.05,0.94,0.08,0.8,0.09,0.82,0.11,0.92,0.0,0.93,0.15,0.86,0.16,0.92,0.12,0.14,0.21,0.26,0.26,67.71
236,0.98,0.15,0.97,0.07,0.98,0.15,0.95,0.12,0.94,0.02,0.81,0.12,1.0,0.01,0.91,0.01,0.97,0.06,0.92,0.16,0.81,0.13,1.0,0.12,0.92,0.0,0.84,0.16,0.89,0.06,0.94,0.13,0.84,0.15,0.81,0.01,0.85,0.07,0.96,0.08,0.96,0.13,0.95,0.14,0.87,0.01,0.83,0.18,0.37,0.19,0.57,0.05,64.58
237,0.85,0.2,0.8,0.1,0.91,0.01,0.81,0.03,0.88,0.1,1.0,0.01,0.83,0.1,0.96,0.11,0.98,0.18,0.91,0.03,0.94,0.15,0.97,0.15,0.8,0.19,0.82,0.03,0.93,0.07,0.93,0.17,0.86,0.07,0.81,0.12,0.99,0.13,0.97,0.09,0.97,0.0,0.94,0.17,0.83,0.07,1.0,0.1,0.75,0.02,0.94,0.31,53.12
238,0.99,0.04,1.0,0.04,0.9,0.05,0.99,0.0,1.0,0.01,0.84,0.04,0.84,0.0,0.88,0.16,0.84,0.0,0.82,0.2,0.94,0.09,0.98,0.08,0.89,0.18,1.0,0.05,0.99,0.16,0.9,0.1,0.96,0.14,0.8,0.01,0.98,0.2,0.87,0.15,0.93,0.12,0.86,0.06,0.88,0.13,0.87,0.04,0.19,0.12,0.49,0.09,67.71
239,1.0,0.03,0.96,0.1,0.99,0.1,0.97,0.11,0.96,0.02,0.8,0.13,0.81,0.16,0.83,0.04,0.95,0.06,0.85,0.01,0.95,0.04,0.83,0.11,0.83,0.01,0.93,0.01,0.84,0.15,0.94,0.11,0.83,0.04,0.88,0.09,0.9,0.07,0.84,0.15,0.96,0.09,0.85,0.1,0.88,0.16,0.8,0.16,0.21,0.0,0.66,0.31,67.71
240,0.82,0.14,0.91,0.07,0.92,0.19,0.8,0.15,0.82,0.02,0.9,0.05,0.89,0.04,0.97,0.11,1.0,0.16,0.81,0.13,1.0,0.06,0.88,0.1,0.99,0.01,0.89,0.03,0.8,0.2,0.86,0.2,0.9,0.05,0.91,0.09,0.83,0.12,0.89,0.18,0.92,0.07,0.96,0.18,0.85,0.0,0.95,0.07,0.63,0.06,0.54,0.27,56.25
241,0.93,0.1,0.8,0.1,0.9,0.04,0.87,0.03,0.81,0.05,0.84,0.12,0.92,0.1,0.99,0.06,1.0,0.1,0.83,0.16,0.99,0.01,1.0,0.14,0.95,0.18,0.88,0.0,0.96,0.16,0.88,0.19,0.92,0.19,0.96,0.18,0.85,0.08,0.9,0.17,0.81,0.04,0.9,0.08,0.88,0.03,0.86,0.1,0.64,0.16,0.35,0.02,54.17
242,0.98,0.13,0.9,0.0,0.85,0.14,0.98,0.0,0.99,0.16,0.93,0.07,0.89,0.15,0.98,0.01,0.84,0.08,0.89,0.18,0.85,0.16,0.82,0.06,0.97,0.18,0.92,0.1,0.92,0.06,0.97,0.04,0.94,0.02,0.89,0.2,0.88,0.17,0.85,0.02,0.83,0.1,1.0,0.16,0.8,0.05,0.85,0.17,0.14,0.01,0.93,0.4,69.79
243,0.98,0.06,0.84,0.13,0.93,0.18,0.96,0.15,0.84,0.11,0.89,0.0,0.84,0.15,0.89,0.0,0.82,0.14,0.86,0.2,0.89,0.1,0.84,0.1,0.93,0.01,0.86,0.09,0.87,0.19,0.85,0.16,0.94,0.01,0.83,0.16,0.9,0.18,1.0,0.0,0.82,0.01,0.82,0.08,0.82,0.08,0.83,0.11,0.17,0.22,0.95,0.13,79.17
244,0.85,0.08,0.85,0.07,0.99,0.11,0.81,0.1,0.87,0.18,0.8,0.12,0.96,0.06,0.85,0.08,0.88,0.17,0.81,0.13,0.97,0.14,0.86,0.02,0.8,0.13,0.85,0.02,0.88,0.01,0.82,0.01,0.83,0.02,0.81,0.0,0.92,0.05,0.82,0.02,0.94,0.17,0.96,0.09,0.82,0.07,0.81,0.11,0.07,0.02,0.35,0.08,73.96
245,0.88,0.16,0.87,0.04,0.9,0.17,0.9,0.15,0.99,0.01,0.96,0.18,0.89,0.08,0.81,0.2,0.95,0.18,0.84,0.17,0.97,0.01,0.99,0.0,0.94,0.12,0.83,0.12,0.9,0.16,0.97,0.08,0.98,0.1,1.0,0.19,0.96,0.2,0.93,0.03,0.82,0.18,0.87,0.12,0.89,0.03,0.95,0.14,0.43,0.28,0.91,0.3,61.46
246,0.82,0.15,0.93,0.0,0.87,0.15,0.91,0.02,0.86,0.02,0.98,0.05,0.85,0.1,0.87,0.01,0.83,0.05,0.81,0.18,0.94,0.09,0.98,0.04,0.99,0.15,0.93,0.12,0.92,0.04,0.96,0.18,0.95,0.2,0.83,0.03,0.91,0.14,0.89,0.1,0.95,0.09,0.95,0.11,0.91,0.01,0.82,0.09,0.16,0.15,0.73,0.04,71.88
247,0.87,0.11,0.8,0.04,0.86,0.02,0.97,0.15,0.99,0.06,0.81,0.15,0.95,0.14,0.8,0.15,0.83,0.1,0.85,0.17,0.92,0.1,0.9,0.19,0.95,0.2,0.97,0.13,0.99,0.06,0.96,0.18,0.86,0.03,0.99,0.07,0.89,0.02,0.84,0.13,0.94,0.1,0.86,0.14,0.84,0.04,0.95,0.06,0.44,0.35,0.7,0.1,62.5
248,0.85,0.15,0.95,0.05,0.81,0.16,0.82,0.13,0.82,0.18,0.99,0.0,0.83,0.02,0.98,0.16,0.89,0.03,0.94,0.16,0.97,0.02,0.87,0.13,0.81,0.13,0.98,0.12,0.92,0.14,0.81,0.1,0.86,0.16,0.96,0.08,0.93,0.12,0.97,0.02,0.99,0.04,0.93,0.11,0.91,0.07,0.93,0.11,0.16,0.39,0.4,0.31,67.71
249,0.82,0.17,1.0,0.14,1.0,0.02,0.81,0.0,0.99,0.15,0.88,0.0,1.0,0.13,0.9,0.1,0.88,0.16,0.92,0.01,1.0,0.07,0.8,0.16,0.97,0.16,0.95,0.18,0.86,0.11,1.0,0.09,0.8,0.15,0.94,0.16,0.91,0.16,0.98,0.17,0.91,0.1,0.87,0.18,0.89,0.01,0.82,0.15,0.15,0.31,0.43,0.26,70.83
250,0.96,0.06,1.0,0.0,0.91,0.15,0.94,0.13,0.85,0.19,0.98,0.19,0.85,0.09,0.9,0.11,0.87,0.14,0.81,0.11,0.81,0.19,1.0,0.04,0.95,0.18,0.82,0.12,0.82,0.02,0.87,0.16,0.8,0.04,0.86,0.02,0.89,0.02,0.96,0.12,0.95,0.04,0.86,0.12,0.83,0.06,0.9,0.18,0.98,0.29,0.2,0.13,51.04
251,0.85,0.11,0.93,0.07,0.92,0.06,0.8,0.03,0.9,0.19,0.88,0.17,0.96,0.15,0.86,0.2,0.81,0.04,0.87,0.0,0.86,0.01,0.85,0.08,0.91,0.13,0.95,0.05,0.84,0.13,0.87,0.03,1.0,0.18,0.87,0.14,0.81,0.06,0.83,0.15,1.0,0.01,0.94,0.02,0.93,0.13,0.94,0.07,0.02,0.38,0.49,0.21,78.12
252,0.8,0.03,0.82,0.08,0.84,0.1,0.82,0.18,0.91,0.13,0.98,0.08,1.0,0.14,1.0,0.19,0.82,0.14,0.93,0.06,0.96,0.18,0.86,0.2,0.83,0.16,0.93,0.11,0.88,0.2,0.93,0.12,0.89,0.13,1.0,0.08,0.97,0.16,0.91,0.02,0.98,0.03,0.8,0.09,0.83,0.17,1.0,0.18,0.2,0.09,0.07,0.1,69.79
253,0.9,0.2,0.83,0.12,0.94,0.2,0.83,0.12,0.9,0.12,0.98,0.14,0.93,0.0,0.97,0.13,0.8,0.14,0.9,0.19,0.93,0.02,0.81,0.07,0.85,0.15,0.9,0.01,0.99,0.14,0.97,0.19,1.0,0.02,0.99,0.16,0.89,0.06,0.98,0.02,0.81,0.1,0.96,0.11,0.89,0.08,0.81,0.14,0.17,0.22,0.26,0.38,70.83
254,0.94,0.1,0.98,0.18,0.96,0.19,0.95,0.01,0.88,0.02,0.84,0.08,0.82,0.19,0.93,0.19,0.93,0.01,0.98,0.12,0.87,0.04,0.83,0.17,0.96,0.01,0.91,0.15,0.81,0.09,0.88,0.17,0.85,0.03,0.97,0.13,0.83,0.02,0.95,0.11,0.98,0.18,0.99,0.06,0.91,0.05,0.83,0.07,0.06,0.28,0.06,0.33,76.04
255,0.98,0.04,0.87,0.07,0.81,0.19,0.8,0.05,0.8,0.12,0.81,0.07,0.99,0.12,0.93,0.0,0.85,0.1,0.87,0.01,0.93,0.07,0.87,0.14,0.8,0.08,1.0,0.15,0.92,0.02,0.91,0.01,0.89,0.15,0.94,0.08,0.87,0.15,0.97,0.06,0.99,0.09,0.81,0.13,0.8,0.1,0.94,0.05,0.62,0.03,0.43,0.19,55.21
256,0.86,0.01,0.92,0.08,0.89,0.05,0.88,0.01,0.99,0.16,0.88,0.2,0.87,0.04,1.0,0.07,0.99,0.02,0.95,0.0,0.95,0.09,0.86,0.06,0.8,0.12,0.89,0.01,1.0,0.17,0.93,0.05,0.8,0.07,1.0,0.05,0.91,0.15,0.81,0.19,0.81,0.12,0.92,0.01,0.91,0.17,0.82,0.07,0.42,0.16,0.7,0.11,60.42
257,0.83,0.14,0.95,0.09,0.9,0.07,0.93,0.07,1.0,0.1,0.97,0.01,0.82,0.05,0.84,0.15,0.86,0.09,0.8,0.1,0.82,0.07,0.85,0.15,0.87,0.08,0.94,0.15,0.96,0.14,0.8,0.12,0.88,0.09,0.82,0.13,0.99,0.11,0.93,0.16,0.88,0.0,0.83,0.0,0.88,0.03,0.88,0.04,0.47,0.21,0.22,0.24,60.42
258,0.89,0.18,0.81,0.05,0.93,0.1,0.83,0.0,0.84,0.11,0.87,0.18,0.8,0.06,0.84,0.12,0.86,0.09,0.98,0.15,0.96,0.01,0.92,0.1,0.89,0.04,0.92,0.17,0.84,0.03,0.81,0.18,0.85,0.02,0.81,0.03,0.91,0.02,0.91,0.09,0.96,0.09,0.85,0.2,0.82,0.19,0.97,0.12,0.61,0.04,0.81,0.34,57.29
259,0.85,0.07,0.91,0.14,0.94,0.18,0.91,0.11,0.81,0.01,0.91,0.1,0.92,0.18,0.96,0.09,0.88,0.02,0.95,0.12,0.94,0.11,0.91,0.09,0.84,0.11,0.96,0.09,0.95,0.01,0.97,0.08,0.94,0.04,0.8,0.05,0.84,0.18,0.92,0.07,0.95,0.03,0.98,0.06,0.81,0.1,0.82,0.14,0.64,0.32,0.16,0.4,59.38
260,0.83,0.14,0.9,0.16,0.88,0.04,0.82,0.05,0.89,0.11,0.94,0.13,0.94,0.0,0.88,0.1,0.84,0.14,1.0,0.14,0.81,0.17,0.96,0.02,0.82,0.17,0.82,0.1,0.83,0.04,0.85,0.09,0.95,0.16,0.94,0.19,0.88,0.16,0.98,0.18,0.95,0.12,0.96,0.02,0.94,0.1,0.87,0.11,0.42,0.32,0.8,0.18,62.5
261,0.91,0.11,0.95,0.11,0.82,0.14,0.9,0.08,0.87,0.13,0.96,0.03,0.95,0.16,0.91,0.03,0.98,0.07,0.85,0.05,0.9,0.09,0.93,0.17,0.92,0.19,0.83,0.19,0.97,0.0,0.97,0.16,1.0,0.1,0.9,0.15,0.97,0.06,0.92,0.09,0.92,0.02,0.99,0.0,0.82,0.14,1.0,0.0,0.1,0.38,0.48,0.03,70.83
262,0.89,0.02,0.82,0.18,0.99,0.2,0.89,0.11,0.85,0.07,0.8,0.15,0.81,0.2,0.96,0.04,0.94,0.16,0.85,0.02,0.9,0.19,0.83,0.01,0.8,0.1,0.97,0.17,0.96,0.07,0.87,0.0,0.86,0.18,0.86,0.07,0.95,0.09,0.96,0.19,0.92,0.11,0.86,0.04,0.96,0.09,0.89,0.12,0.63,0.29,0.19,0.17,62.5
263,0.91,0.05,0.83,0.15,0.88,0.14,0.81,0.06,0.99,0.2,0.85,0.11,0.84,0.18,0.83,0.2,0.89,0.18,0.81,0.0,0.97,0.0,0.86,0.02,0.88,0.03,0.81,0.09,0.94,0.09,0.85,0.14,0.83,0.16,0.85,0.15,0.95,0.2,0.92,0.2,0.97,0.13,0.94,0.18,0.99,0.08,0.99,0.16,0.57,0.2,0.43,0.27,59.38
264,0.8,0.04,1.0,0.14,0.92,0.08,0.83,0.09,0.87,0.17,0.86,0.05,0.94,0.01,0.84,0.08,0.87,0.02,0.9,0.17,0.8,0.1,0.95,0.09,0.9,0.2,0.85,0.04,1.0,0.03,0.94,0.05,0.99,0.18,0.9,0.01,0.81,0.18,0.83,0.09,0.98,0.15,0.98,0.09,0.94,0.17,0.83,0.06,0.45,0.19,1.0,0.32,62.5
265,0.86,0.15,0.84,0.1,0.85,0.1,0.84,0.08,0.87,0.11,0.86,0.04,0.81,0.03,0.86,0.1,1.0,0.17,1.0,0.03,0.94,0.0,0.87,0.17,0.93,0.06,0.83,0.03,0.85,0.17,0.95,0.05,0.86,0.1,0.81,0.16,0.91,0.16,0.8,0.18,0.94,0.16,0.9,0.04,0.92,0.08,0.83,0.15,0.69,0.08,0.94,0.05,56.25
266,0.83,0.06,0.95,0.11,0.84,0.13,0.88,0.18,0.98,0.11,0.91,0.01,0.92,0.06,0.97,0.19,0.87,0.17,0.88,0.04,0.97,0.17,0.93,0.11,0.88,0.02,0.83,0.19,0.99,0.2,0.88,0.13,1.0,0.05,0.82,0.15,0.84,0.13,0.97,0.16,0.84,0.0,0.93,0.01,0.85,0.14,0.92,0.11,0.5,0.14,0.2,0.4,59.38
267,0.97,0.19,0.98,0.13,0.84,0.1,0.86,0.19,0.96,0.03,1.0,0.17,0.83,0.03,1.0,0.14,0.85,0.05,0.96,0.11,0.97,0.18,0.97,0.1,0.93,0.09,0.98,0.08,0.88,0.19,0.97,0.12,0.83,0.08,0.98,0.15,0.93,0.06,1.0,0.01,0.8,0.16,1.0,0.04,0.9,0.18,0.91,0.14,0.01,0.06,0.79,0.26,79.17
268,0.81,0.01,0.93,0.2,0.97,0.2,0.91,0.12,0.81,0.1,0.91,0.09,0.93,0.07,0.94,0.01,0.98,0.16,0.9,0.09,0.92,0.05,0.85,0.03,0.81,0.2,0.97,0.02,0.85,0.03,1.0,0.03,0.81,0.08,0.89,0.2,0.85,0.01,0.88,0.17,0.82,0.18,0.99,0.16,0.8,0.16,0.95,0.1,0.67,0.0,0.89,0.31,59.38
269,0.89,0.0,0.88,0.17,0.85,0.2,0.95,0.2,0.94,0.07,0.81,0.09,0.85,0.19,1.0,0.11,0.91,0.18,0.81,0.19,0.94,0.07,0.89,0.1,1.0,0.13,1.0,0.13,0.98,0.14,0.9,0.17,0.97,0.01,0.85,0.07,0.97,0.19,0.9,0.16,0.84,0.17,0.87,0.0,0.85,0.09,0.84,0.03,0.95,0.29,0.28,0.34,53.12
270,0.96,0.05,0.88,0.19,0.94,0.09,0.89,0.04,0.8,0.08,0.86,0.17,0.85,0.19,0.98,0.03,0.93,0.05,1.0,0.18,0.82,0.0,0.8,0.07,0.95,0.09,0.81,0.05,0.96,0.06,0.88,0.1,0.87,0.17,0.84,0.14,0.9,0.18,0.8,0.06,0.95,0.11,0.93,0.15,0.97,0.06,0.93,0.06,0.49,0.17,0.41,0.29,61.46
271,0.99,0.01,0.83,0.05,0.98,0.08,0.94,0.16,0.8,0.15,0.94,0.05,0.87,0.04,0.97,0.18,0.8,0.18,0.95,0.12,0.97,0.01,0.87,0.16,1.0,0.16,0.93,0.11,0.94,0.15,0.99,0.09,0.95,0.17,0.86,0.19,0.98,0.02,0.8,0.01,1.0,0.05,0.9,0.16,0.86,0.19,0.96,0.2,0.21,0.02,0.33,0.36,69.79
272,0.98,0.18,0.93,0.19,0.86,0.05,0.9,0.03,0.95,0.12,0.83,0.03,0.97,0.0,1.0,0.0,0.99,0.07,0.94,0.18,0.97,0.14,0.96,0.02,1.0,0.08,0.87,0.03,0.99,0.01,0.94,0.13,0.93,0.18,0.88,0.11,0.81,0.0,0.98,0.13,0.98,0.13,0.99,0.19,0.84,0.18,0.84,0.04,0.25,0.24,0.18,0.23,64.58
273,0.93,0.08,0.88,0.09,0.94,0.05,0.94,0.05,0.96,0.16,0.88,0.08,0.86,0.0,0.99,0.03,0.91,0.05,0.88,0.19,0.91,0.03,0.99,0.2,0.97,0.11,0.81,0.09,0.9,0.03,0.83,0.06,0.81,0.0,0.93,0.06,0.83,0.16,0.93,0.09,0.93,0.07,0.95,0.14,0.95,0.2,0.99,0.01,0.88,0.23,0.31,0.02,50.0
274,0.84,0.2,0.99,0.13,0.96,0.01,0.9,0.19,0.97,0.1,0.86,0.01,0.84,0.06,0.83,0.18,0.85,0.19,0.92,0.18,0.98,0.12,0.9,0.03,0.8,0.08,0.89,0.16,0.96,0.1,0.91,0.13,0.99,0.19,0.82,0.0,0.84,0.04,1.0,0.13,0.9,0.09,0.89,0.05,0.99,0.19,0.89,0.14,0.93,0.04,0.81,0.38,52.08
275,0.82,0.12,0.97,0.03,0.9,0.01,0.96,0.01,0.88,0.04,0.83,0.08,0.86,0.03,0.91,0.1,0.96,0.15,0.84,0.03,0.96,0.17,0.98,0.12,0.83,0.17,0.95,0.2,0.82,0.12,0.87,0.18,0.85,0.01,0.95,0.17,0.83,0.16,0.92,0.0,0.88,0.16,0.99,0.16,0.89,0.15,0.9,0.1,0.22,0.29,0.64,0.2,73.96
276,0.96,0.13,0.95,0.05,0.91,0.12,0.86,0.11,0.93,0.2,0.82,0.15,0.85,0.11,0.86,0.12,0.84,0.05,0.82,0.1,0.8,0.0,0.8,0.06,0.99,0.13,0.97,0.06,0.96,0.01,0.87,0.05,0.84,0.15,0.92,0.2,0.8,0.08,0.9,0.19,0.89,0.02,0.88,0.03,0.96,0.08,0.99,0.11,0.03,0.02,0.4,0.29,78.12
277,1.0,0.02,0.81,0.05,0.83,0.09,0.85,0.13,0.97,0.12,0.9,0.1,0.88,0.04,0.84,0.1,0.82,0.2,0.82,0.07,0.89,0.17,0.81,0.12,0.94,0.18,0.9,0.18,0.99,0.09,0.92,0.2,0.94,0.05,0.88,0.0,0.81,0.14,0.83,0.01,0.88,0.1,0.93,0.16,0.85,0.07,0.96,0.05,0.35,0.32,0.04,0.08,62.5
278,0.88,0.13,0.82,0.01,0.98,0.19,0.85,0.13,0.95,0.2,0.87,0.19,0.85,0.16,0.82,0.07,0.87,0.16,0.9,0.04,0.82,0.0,0.97,0.1,0.96,0.16,0.88,0.1,0.89,0.07,0.94,0.03,0.94,0.03,0.92,0.06,0.92,0.11,0.87,0.2,0.83,0.16,0.97,0.0,0.88,0.05,0.84,0.07,0.97,0.31,0.15,0.33,50.0
279,0.96,0.06,0.83,0.03,0.83,0.07,0.98,0.13,0.97,0.14,0.99,0.09,0.84,0.12,0.91,0.18,0.86,0.09,0.8,0.03,0.83,0.07,0.86,0.01,0.96,0.12,0.8,0.07,0.8,0.17,0.87,0.08,1.0,0.16,0.84,0.13,0.92,0.14,0.96,0.18,0.99,0.08,0.92,0.1,0.94,0.01,1.0,0.07,0.98,0.13,0.96,0.4,50.0
